id;nomsemestre;annee;moyenne;serie;filiere;niveau;moyenne_generale;rang;note_conduite;matricule
1;Semestre1;2022-07-16;63973;S4;Developpement_Territorial;BT1;27954;Metal;37096;Côte Avon programming
2;Semestre2;2022-07-16;67807;S5;Tourisme;BEP1;98420;Alsace;89675;silver bus extend
3;Semestre1;2022-07-16;96501;S4;Environnement;BEP1;12486;red;43216;Mouse alarm
4;Semestre3;2022-07-16;7329;STIDD_E;Industrie_cultirelle_et_creative;ChefEquipe;20318;leverage indexing;47602;virtual
5;Semestre1;2022-07-16;69056;S5;Environnement;ChefChantier;42695;back-end;26222;Ball
6;Semestre1;2022-07-16;95458;S3;Artisanat;BEP3;98657;Centralized;5232;Centre Clothing
7;Semestre1;2022-07-16;15166;STIDD_M;Tourisme;BT3;58898;Tomé-et-Principe grey parse;73268;system
8;Semestre1;2022-07-16;85369;STIDD_E;Elevage;CAP1;35903;GB;73369;d'Azur b driver
9;Semestre1;2022-07-16;13559;F6;Sport;TitreProfessionnel;9854;Synergized e-tailers;20480;bluetooth
10;Semestre3;2022-07-16;94750;STIDD_E;Droit;ChefEquipe;74451;strategic;27166;Handcrafted strategize
