id;nom_etab;type_etab;statut;adresse;email;latitude;longitude;matricule_etab
1;support purple neural;CFP;Prive;a user;Julien57@hotmail.fr;39685;16294;input
2;b;CFP;Public;parse connecting empower;Vital19@yahoo.fr;31340;97091;Denar
3;Berkshire reciprocal;CFP;Prive;bricks-and-clicks;Chlo_Girard44@hotmail.fr;91801;81237;Rustic
4;payment;LyceeTechnique;Prive;Account driver programming;Fulcran_Simon23@hotmail.fr;89975;62204;cross-platform
5;Nord-Pas-de-Calais;LyceeTechnique;Public;Laffitte intermediate;Palmon.Fabre@hotmail.fr;19198;3332;purple la
6;XML efficient intuitive;LyceeTechnique;Prive;Cotton Fantastic;Bernard.Roussel78@yahoo.fr;38450;93982;FTP Pants
7;bandwidth;LyceeTechnique;Prive;Palladium demand-driven;Adalbaude59@yahoo.fr;54068;99871;bandwidth Frozen clear-thinking
8;Botswana Books Franche-Comté;CFP;Public;e-services;Brieuc82@yahoo.fr;91198;17519;compress
9;purple;CFP;Prive;b Brunei Buckinghamshire;Trajan63@hotmail.fr;41680;44958;application Cotton
10;Poitou-Charentes Account;LyceeTechnique;Prive;Grocery;velyne_Moreau45@hotmail.fr;14828;35056;synergistic
