id;nom_matiere;reference;type_matiere;etat_matiere;matricule_matiere
1;Checking mobile;markets Tonga Bacon;Guinée;Handcrafted driver;Paix Avon
2;workforce b;Laffitte card Lesotho;online Bedfordshire Tools;matrix c;Awesome B2B bandwidth
3;invoice a invoice;auxiliary vortals;Handcrafted deposit;Fully-configurable de;a regional
4;cross-platform Multi-lateral Rustic;Ball a Stagiaire;Grocery;Designer Kids programming;Money Montmorency Franche-Comté
5;directional;Personal Rustic;hack Fully-configurable Outdoors;innovative Intuitive Self-enabling;driver CFA FTP
6;Home port;Seychelles sensor;Royale Checking;Account c quantifying;systematic Credit
7;ROI payment Berkshire;green;GB world-class maroon;Lettonie Implemented;calculating Wooden Bedfordshire
8;b Soft panel;Concrete bypass navigate;a visionary c;b Public-key;grow l'Abbaye
9;supply-chains value-added Ball;Berkshire green parse;embrace e-services;client-server connect;indigo
10;paradigm;feed extend;Samoa redefine extranet;Ergonomic e-tailers;Lira
