id;annee;moyenne;serie;filiere;niveau;moyenne_generale;rang;note_conduite;matricule_rel
1;2022-07-16;24658;F6;Biologie_chimie;BT3;23299;Car synthesize;90527;Bhoutan Monsieur-le-Prince
2;2022-07-16;22616;STIDD_M;Environnement;CAP2;81748;Investment Rican;68228;b tan Sleek
3;2022-07-16;44983;S3;Structure_Plastique;CAP2;93331;Tadjikistan withdrawal withdrawal;96841;auxiliary b Pizza
4;2022-07-16;13452;S5;Batiment_TraveauxPublics;ChefEquipe;60650;Bacon best-of-breed a;91662;XSS
5;2022-07-16;87633;S4;MenuiserieBois;BT3;64629;Refined;16087;virtual Berkshire
6;2022-07-16;72231;S3;Biologie_chimie;ChefEquipe;87235;generate;92940;cross-platform Ingenieur driver
7;2022-07-16;38130;STIDD_E;Droit;ChefChantier;64659;quantify;95554;Buckinghamshire
8;2022-07-16;94623;F6;Sport;CQP;29622;HDD;6430;c Manat relationships
9;2022-07-15;27434;STIDD_E;Sante;CAP3;25863;Avon Wooden calculate;75786;Rubber
10;2022-07-16;72195;STIDD_M;Agroalimentaire;METP;90160;Executif reboot;25803;b
